PrecoUnitario|Quantidade|Data:ALFA|Pais:ALFA|Cidade:ALFA|Empresa:ALFA|Cliente:ALFA|CEP:ALFA|Categoria:ALFA|Produto:ALFA
8,00|20|1996-07-19 00:00:00.000|Brazil|Rio de Janeiro|Que Delícia|QUEDE|02389-673|3|Sir Rodney's Scones
16,00|40|1996-07-10 00:00:00.000|Brazil|Rio de Janeiro|Hanari Carnes|HANAR|05454-876|3|Maxilaku
14,70|60|1996-08-05 00:00:00.000|Germany|Cunewalde|QUICK-Stop|QUICK|01307|8|Boston Crab Meat
27,80|4|1996-07-30 00:00:00.000|Venezuela|Caracas|GROSELLA-Restaurante|GROSR|1081|4|Mozzarella di Giovanni
24,80|24|1996-08-05 00:00:00.000|Germany|Cunewalde|QUICK-Stop|QUICK|01307|8|Ikura
35,10|8|1996-08-12 00:00:00.000|Sweden|Luleå|Berglunds snabbköp|BERGS|S-958 22|2|Vegie-spread
18,60|9|1996-07-05 00:00:00.000|Germany|Münster|Toms Spezialitäten|TOMSP|44087|7|Tofu
17,00|65|1996-07-17 00:00:00.000|Austria|Graz|Ernst Handel|ERNSH|8010|2|Chef Anton's Gumbo Mix
44,00|30|1996-07-12 00:00:00.000|Switzerland|Genève|Richter Supermarkt|RICSU|1203|4|Raclette Courdavault
35,10|15|1996-08-19 00:00:00.000|Germany|Frankfurt a,M,|Lehmanns Marktstand|LEHMS|60528|3|Schoggi Schokolade
34,80|5|1996-07-04 00:00:00.000|France|Reims|Vins et alcools Chevalier|VINET|51100|4|Mozzarella di Giovanni
12,00|20|1996-07-25 00:00:00.000|France|Strasbourg|Blondesddsl père et fils|BLONP|67000|1|Outback Lager
15,50|16|1996-08-12 00:00:00.000|Sweden|Luleå|Berglunds snabbköp|BERGS|S-958 22|2|Gula Malacca
44,00|6|1996-08-07 00:00:00.000|Italy|Bergamo|Magazzini Alimentari Riuniti|MAGAA|24100|4|Raclette Courdavault
27,80|24|1996-08-02 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|4|Mozzarella di Giovanni
2,00|20|1996-08-05 00:00:00.000|Germany|Cunewalde|QUICK-Stop|QUICK|01307|4|Geitost
13,90|35|1996-07-12 00:00:00.000|Switzerland|Genève|Richter Supermarkt|RICSU|1203|3|Pavlova
11,20|5|1996-08-19 00:00:00.000|Germany|Frankfurt a,M,|Lehmanns Marktstand|LEHMS|60528|1|Laughing Lumberjack Lager
15,20|20|1996-07-12 00:00:00.000|Switzerland|Genève|Richter Supermarkt|RICSU|1203|1|Chang
14,40|6|1996-07-16 00:00:00.000|Venezuela|San Cristóbal|HILARION-Abastos|HILAA|5022|1|Chartreuse verte
7,70|10|1996-07-08 00:00:00.000|Brazil|Rio de Janeiro|Hanari Carnes|HANAR|05454-876|8|Jack's New England Clam Chowder
19,20|20|1996-08-14 00:00:00.000|Sweden|Luleå|Berglunds snabbköp|BERGS|S-958 22|6|Pâté chinois
15,50|21|1996-08-19 00:00:00.000|Germany|Frankfurt a,M,|Lehmanns Marktstand|LEHMS|60528|2|Gula Malacca
64,80|6|1996-08-02 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|3|Sir Rodney's Marmalade
30,40|12|1996-07-26 00:00:00.000|Finland|Oulu|Wartian Herkku|WARTH|90110|4|Queso Manchego La Pastora
15,60|2|1996-08-15 00:00:00.000|Spain|Madrid|Romero y tomillo|ROMEY|28001|5|Ravioli Angelo
15,20|35|1996-07-24 00:00:00.000|Sweden|Bräcke|Folk och fä HB|FOLKO|S-844 67|1|Chang
20,70|60|1996-07-23 00:00:00.000|Austria|Graz|Ernst Handel|ERNSH|8010|8|Nord-Ost Matjeshering
3,60|12|1996-08-07 00:00:00.000|Italy|Bergamo|Magazzini Alimentari Riuniti|MAGAA|24100|1|Guaraná Fantástica
3,60|28|1996-07-23 00:00:00.000|Austria|Graz|Ernst Handel|ERNSH|8010|1|Guaraná Fantástica
27,80|7|1996-08-06 00:00:00.000|France|Reims|Vins et alcools Chevalier|VINET|51100|4|Mozzarella di Giovanni
10,40|15|1996-07-16 00:00:00.000|Venezuela|San Cristóbal|HILARION-Abastos|HILAA|5022|2|Original Frankfurter grüne Soße
24,80|15|1996-08-08 00:00:00.000|Mexico|Mexico D,F,|Tortuga Restaurante|TORTU|05033|8|Ikura
16,80|15|1996-07-08 00:00:00.000|Brazil|Rio de Janeiro|Hanari Carnes|HANAR|05454-876|2|Louisiana Fiery Hot Pepper Sauce
10,00|20|1996-07-10 00:00:00.000|Brazil|Rio de Janeiro|Hanari Carnes|HANAR|05454-876|4|Gorgonzola Telino
7,30|18|1996-08-16 00:00:00.000|Venezuela|Barquisimeto|LILA-Supermercado|LILAS|3508|3|Teatime Chocolate Biscuits
10,40|12|1996-07-15 00:00:00.000|Brazil|Resende|Wellington Importadora|WELLI|08737-363|2|Original Frankfurter grüne Soße
31,20|15|1996-08-13 00:00:00.000|Germany|Frankfurt a,M,|Lehmanns Marktstand|LEHMS|60528|6|Alice Mutton
15,20|30|1996-08-01 00:00:00.000|Finland|Oulu|Wartian Herkku|WARTH|90110|8|Inlagd Sill
27,20|20|1996-08-19 00:00:00.000|Germany|Frankfurt a,M,|Lehmanns Marktstand|LEHMS|60528|4|Camembert Pierrot
10,00|40|1996-08-02 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|4|Gorgonzola Telino
27,20|40|1996-07-09 00:00:00.000|Belgium|Charleroi|Suprêmes délices|SUPRD|B-6000|4|Camembert Pierrot
24,00|15|1996-07-22 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|7|Uncle Bob's Organic Dried Pears
27,20|35|1996-08-16 00:00:00.000|Venezuela|Barquisimeto|LILA-Supermercado|LILAS|3508|4|Camembert Pierrot
44,00|15|1996-08-12 00:00:00.000|Sweden|Luleå|Berglunds snabbköp|BERGS|S-958 22|4|Raclette Courdavault
16,80|6|1996-07-08 00:00:00.000|France|Lyon|Victuailles en stock|VICTE|69004|5|Gustaf's Knäckebröd
42,40|40|1996-07-05 00:00:00.000|Germany|Münster|Toms Spezialitäten|TOMSP|44087|7|Manjimup Dried Apples
14,40|20|1996-07-19 00:00:00.000|Brazil|Rio de Janeiro|Que Delícia|QUEDE|02389-673|1|Steeleye Stout
15,20|50|1996-07-17 00:00:00.000|Austria|Graz|Ernst Handel|ERNSH|8010|1|Chang
2,00|25|1996-07-09 00:00:00.000|Belgium|Charleroi|Suprêmes délices|SUPRD|B-6000|4|Geitost
