PrecoUnitario|Quantidade|Data:ALFA|Pais:ALFA|Cidade:ALFA|Empresa:ALFA|Cliente:ALFA|CEP:ALFA|Categoria:ALFA|Produto:ALFA
27,80|4|1996-07-30 00:00:00.000|Venezuela|Caracas|GROSELLA-Restaurante|GROSR|1081|4|Mozzarella di Giovanni
2,00|60|1996-07-31 00:00:00.000|USA|Seattle|White Clover Markets|WHITC|98128|4|Geitost
27,80|20|1996-07-31 00:00:00.000|USA|Seattle|White Clover Markets|WHITC|98128|4|Mozzarella di Giovanni
15,20|30|1996-08-01 00:00:00.000|Finland|Oulu|Wartian Herkku|WARTH|90110|8|Inlagd Sill
36,80|25|1996-08-01 00:00:00.000|Finland|Oulu|Wartian Herkku|WARTH|90110|1|Ipoh Coffee
2,00|24|1996-08-01 00:00:00.000|USA|Lander|Split Rail Beer & Ale|SPLIR|82520|4|Geitost
64,80|6|1996-08-02 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|3|Sir Rodney's Marmalade
10,00|40|1996-08-02 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|4|Gorgonzola Telino
27,80|24|1996-08-02 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|4|Mozzarella di Giovanni
24,80|24|1996-08-05 00:00:00.000|Germany|Cunewalde|QUICK-Stop|QUICK|01307|8|Ikura
10,00|15|1996-08-05 00:00:00.000|Germany|Cunewalde|QUICK-Stop|QUICK|01307|4|Gorgonzola Telino
2,00|20|1996-08-05 00:00:00.000|Germany|Cunewalde|QUICK-Stop|QUICK|01307|4|Geitost
14,70|60|1996-08-05 00:00:00.000|Germany|Cunewalde|QUICK-Stop|QUICK|01307|8|Boston Crab Meat
14,40|33|1996-08-05 00:00:00.000|Germany|Cunewalde|QUICK-Stop|QUICK|01307|1|Lakkalikööri
17,20|20|1996-08-06 00:00:00.000|France|Reims|Vins et alcools Chevalier|VINET|51100|4|Flotemysost
27,80|7|1996-08-06 00:00:00.000|France|Reims|Vins et alcools Chevalier|VINET|51100|4|Mozzarella di Giovanni
3,60|12|1996-08-07 00:00:00.000|Italy|Bergamo|Magazzini Alimentari Riuniti|MAGAA|24100|1|Guaraná Fantástica
44,00|6|1996-08-07 00:00:00.000|Italy|Bergamo|Magazzini Alimentari Riuniti|MAGAA|24100|4|Raclette Courdavault
24,80|15|1996-08-08 00:00:00.000|Mexico|Mexico D,F,|Tortuga Restaurante|TORTU|05033|8|Ikura
4,80|10|1996-08-08 00:00:00.000|Mexico|Mexico D,F,|Tortuga Restaurante|TORTU|05033|8|Konbu
36,40|20|1996-08-09 00:00:00.000|Germany|Leipzig|Morgenstern Gesundkost|MORGK|04179|7|Rössle Sauerkraut
39,40|12|1996-08-09 00:00:00.000|Germany|Leipzig|Morgenstern Gesundkost|MORGK|04179|3|Tarte au sucre
15,50|16|1996-08-12 00:00:00.000|Sweden|Luleå|Berglunds snabbköp|BERGS|S-958 22|2|Gula Malacca
44,00|15|1996-08-12 00:00:00.000|Sweden|Luleå|Berglunds snabbköp|BERGS|S-958 22|4|Raclette Courdavault
35,10|8|1996-08-12 00:00:00.000|Sweden|Luleå|Berglunds snabbköp|BERGS|S-958 22|2|Vegie-spread
12,00|25|1996-08-12 00:00:00.000|Sweden|Luleå|Berglunds snabbköp|BERGS|S-958 22|8|Röd Kaviar
31,20|15|1996-08-13 00:00:00.000|Germany|Frankfurt a,M,|Lehmanns Marktstand|LEHMS|60528|6|Alice Mutton
3,60|12|1996-08-14 00:00:00.000|Sweden|Luleå|Berglunds snabbköp|BERGS|S-958 22|1|Guaraná Fantástica
19,20|20|1996-08-14 00:00:00.000|Sweden|Luleå|Berglunds snabbköp|BERGS|S-958 22|6|Pâté chinois
6,20|30|1996-08-14 00:00:00.000|Sweden|Luleå|Berglunds snabbköp|BERGS|S-958 22|1|Rhönbräu Klosterbier
7,30|1|1996-08-14 00:00:00.000|Spain|Madrid|Romero y tomillo|ROMEY|28001|3|Teatime Chocolate Biscuits
3,60|6|1996-08-14 00:00:00.000|Spain|Madrid|Romero y tomillo|ROMEY|28001|1|Guaraná Fantástica
14,40|4|1996-08-14 00:00:00.000|Spain|Madrid|Romero y tomillo|ROMEY|28001|1|Steeleye Stout
20,70|6|1996-08-15 00:00:00.000|Spain|Madrid|Romero y tomillo|ROMEY|28001|8|Nord-Ost Matjeshering
15,60|2|1996-08-15 00:00:00.000|Spain|Madrid|Romero y tomillo|ROMEY|28001|5|Ravioli Angelo
12,40|20|1996-08-16 00:00:00.000|Venezuela|Barquisimeto|LILA-Supermercado|LILAS|3508|2|Genen Shouyu
7,30|18|1996-08-16 00:00:00.000|Venezuela|Barquisimeto|LILA-Supermercado|LILAS|3508|3|Teatime Chocolate Biscuits
27,20|35|1996-08-16 00:00:00.000|Venezuela|Barquisimeto|LILA-Supermercado|LILAS|3508|4|Camembert Pierrot
27,80|3|1996-08-16 00:00:00.000|Venezuela|Barquisimeto|LILA-Supermercado|LILAS|3508|4|Mozzarella di Giovanni
35,10|15|1996-08-19 00:00:00.000|Germany|Frankfurt a,M,|Lehmanns Marktstand|LEHMS|60528|3|Schoggi Schokolade
15,50|21|1996-08-19 00:00:00.000|Germany|Frankfurt a,M,|Lehmanns Marktstand|LEHMS|60528|2|Gula Malacca
27,20|20|1996-08-19 00:00:00.000|Germany|Frankfurt a,M,|Lehmanns Marktstand|LEHMS|60528|4|Camembert Pierrot
11,20|5|1996-08-19 00:00:00.000|Germany|Frankfurt a,M,|Lehmanns Marktstand|LEHMS|60528|1|Laughing Lumberjack Lager
14,40|45|1996-08-20 00:00:00.000|Germany|Cunewalde|QUICK-Stop|QUICK|01307|1|Chai
14,70|40|1996-08-20 00:00:00.000|Germany|Cunewalde|QUICK-Stop|QUICK|01307|8|Boston Crab Meat
26,20|36|1996-08-20 00:00:00.000|Germany|Cunewalde|QUICK-Stop|QUICK|01307|6|Perth Pasties
14,40|100|1996-08-21 00:00:00.000|Germany|Cunewalde|QUICK-Stop|QUICK|01307|1|Steeleye Stout
39,40|40|1996-08-21 00:00:00.000|Germany|Cunewalde|QUICK-Stop|QUICK|01307|3|Tarte au sucre
13,90|40|1996-08-22 00:00:00.000|Brazil|Rio de Janeiro|Ricardo Adocicados|RICAR|02389-890|3|Pavlova
11,20|20|1996-08-22 00:00:00.000|Brazil|Rio de Janeiro|Ricardo Adocicados|RICAR|02389-890|1|Sasquatch Ale
9,60|15|1996-08-22 00:00:00.000|Brazil|Rio de Janeiro|Ricardo Adocicados|RICAR|02389-890|8|Spegesild
5,90|10|1996-08-23 00:00:00.000|Italy|Reggio Emilia|Reggiani Caseifici|REGGC|42100|6|Tourtière
10,00|3|1996-08-23 00:00:00.000|Italy|Reggio Emilia|Reggiani Caseifici|REGGC|42100|3|Scottish Longbreads
8,00|30|1996-08-26 00:00:00.000|UK|London|B's Beverages|BSBEV|EC2 5NT|2|Aniseed Syrup
26,60|9|1996-08-26 00:00:00.000|UK|London|B's Beverages|BSBEV|EC2 5NT|5|Wimmers gute Semmelknödel
17,00|20|1996-08-27 00:00:00.000|Brazil|Sao Paulo|Comércio Mineiro|COMMI|05432-043|2|Chef Anton's Gumbo Mix
99,00|15|1996-08-27 00:00:00.000|Brazil|Sao Paulo|Comércio Mineiro|COMMI|05432-043|6|Thüringer Rostbratwurst
16,00|15|1996-08-27 00:00:00.000|Brazil|Sao Paulo|Comércio Mineiro|COMMI|05432-043|3|Maxilaku
10,40|10|1996-08-27 00:00:00.000|Brazil|Sao Paulo|Comércio Mineiro|COMMI|05432-043|2|Original Frankfurter grüne Soße
4,80|20|1996-08-27 00:00:00.000|Brazil|Rio de Janeiro|Que Delícia|QUEDE|02389-673|8|Konbu
15,50|24|1996-08-27 00:00:00.000|Brazil|Rio de Janeiro|Que Delícia|QUEDE|02389-673|2|Gula Malacca
42,40|2|1996-08-27 00:00:00.000|Brazil|Rio de Janeiro|Que Delícia|QUEDE|02389-673|7|Manjimup Dried Apples
64,80|20|1996-08-28 00:00:00.000|Brazil|Sao Paulo|Tradição Hipermercados|TRADH|05634-030|3|Sir Rodney's Marmalade
50,00|12|1996-08-29 00:00:00.000|Mexico|Mexico D,F,|Tortuga Restaurante|TORTU|05033|8|Carnarvon Tigers
3,60|10|1996-08-29 00:00:00.000|Mexico|Mexico D,F,|Tortuga Restaurante|TORTU|05033|1|Guaraná Fantástica
35,10|5|1996-08-29 00:00:00.000|Mexico|Mexico D,F,|Tortuga Restaurante|TORTU|05033|2|Vegie-spread
6,20|6|1996-08-29 00:00:00.000|Mexico|Mexico D,F,|Tortuga Restaurante|TORTU|05033|1|Rhönbräu Klosterbier
14,40|18|1996-08-30 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|1|Chai
31,20|15|1996-08-30 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|6|Alice Mutton
36,80|15|1996-08-30 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|1|Ipoh Coffee
27,20|21|1996-08-30 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|4|Camembert Pierrot
6,20|6|1996-08-30 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|1|Rhönbräu Klosterbier
30,40|4|1996-09-02 00:00:00.000|France|Reims|Vins et alcools Chevalier|VINET|51100|5|Gnocchi di nonna Alice
16,80|12|1996-09-03 00:00:00.000|Venezuela|Barquisimeto|LILA-Supermercado|LILAS|3508|4|Queso Cabrales
13,90|30|1996-09-03 00:00:00.000|Venezuela|Barquisimeto|LILA-Supermercado|LILAS|3508|3|Pavlova
28,80|15|1996-09-03 00:00:00.000|Venezuela|Barquisimeto|LILA-Supermercado|LILAS|3508|4|Gudbrandsdalsost
14,40|60|1996-09-04 00:00:00.000|France|Strasbourg|Blondesddsl père et fils|BLONP|67000|1|Chartreuse verte
27,80|20|1996-09-04 00:00:00.000|France|Strasbourg|Blondesddsl père et fils|BLONP|67000|4|Mozzarella di Giovanni
15,20|40|1996-09-05 00:00:00.000|Ireland|Cork|Hungry Owl All-Night Grocers|HUNGO|NULL|1|Chang
15,20|40|1996-09-05 00:00:00.000|Ireland|Cork|Hungry Owl All-Night Grocers|HUNGO|NULL|8|Inlagd Sill
44,00|30|1996-09-05 00:00:00.000|Ireland|Cork|Hungry Owl All-Night Grocers|HUNGO|NULL|4|Raclette Courdavault
39,40|15|1996-09-05 00:00:00.000|Ireland|Cork|Hungry Owl All-Night Grocers|HUNGO|NULL|3|Tarte au sucre
7,30|15|1996-09-06 00:00:00.000|Brazil|Rio de Janeiro|Ricardo Adocicados|RICAR|02389-890|3|Teatime Chocolate Biscuits
12,00|20|1996-09-06 00:00:00.000|Brazil|Rio de Janeiro|Ricardo Adocicados|RICAR|02389-890|1|Outback Lager
13,60|30|1996-09-09 00:00:00.000|Italy|Bergamo|Magazzini Alimentari Riuniti|MAGAA|24100|2|Louisiana Hot Spiced Okra
10,00|20|1996-09-09 00:00:00.000|Italy|Bergamo|Magazzini Alimentari Riuniti|MAGAA|24100|3|Scottish Longbreads
14,70|10|1996-09-09 00:00:00.000|Germany|Stuttgart|Die Wandernde Kuh|WANDK|70563|8|Boston Crab Meat
30,40|20|1996-09-09 00:00:00.000|Germany|Stuttgart|Die Wandernde Kuh|WANDK|70563|5|Gnocchi di nonna Alice
31,20|40|1996-09-10 00:00:00.000|Belgium|Charleroi|Suprêmes délices|SUPRD|B-6000|6|Alice Mutton
36,40|28|1996-09-10 00:00:00.000|Belgium|Charleroi|Suprêmes délices|SUPRD|B-6000|7|Rössle Sauerkraut
36,80|12|1996-09-10 00:00:00.000|Belgium|Charleroi|Suprêmes délices|SUPRD|B-6000|1|Ipoh Coffee
14,70|40|1996-09-11 00:00:00.000|Spain|Sevilla|Godos Cocina Típica|GODOS|41101|8|Boston Crab Meat
16,80|30|1996-09-11 00:00:00.000|Spain|Sevilla|Godos Cocina Típica|GODOS|41101|2|Louisiana Fiery Hot Pepper Sauce
10,00|15|1996-09-11 00:00:00.000|Spain|Sevilla|Godos Cocina Típica|GODOS|41101|3|Scottish Longbreads
16,00|30|1996-09-12 00:00:00.000|Mexico|Mexico D,F,|Tortuga Restaurante|TORTU|05033|3|Maxilaku
44,00|10|1996-09-12 00:00:00.000|Mexico|Mexico D,F,|Tortuga Restaurante|TORTU|05033|4|Raclette Courdavault
17,20|2|1996-09-12 00:00:00.000|Mexico|Mexico D,F,|Tortuga Restaurante|TORTU|05033|4|Flotemysost
50,00|25|1996-09-13 00:00:00.000|USA|Anchorage|Old World Delicatessen|OLDWO|99508|8|Carnarvon Tigers
99,00|25|1996-09-13 00:00:00.000|USA|Anchorage|Old World Delicatessen|OLDWO|99508|6|Thüringer Rostbratwurst
14,40|30|1996-09-13 00:00:00.000|USA|Anchorage|Old World Delicatessen|OLDWO|99508|1|Chartreuse verte
20,70|10|1996-09-16 00:00:00.000|Spain|Madrid|Romero y tomillo|ROMEY|28001|8|Nord-Ost Matjeshering
26,20|10|1996-09-16 00:00:00.000|Spain|Madrid|Romero y tomillo|ROMEY|28001|6|Perth Pasties
5,90|5|1996-09-16 00:00:00.000|Spain|Madrid|Romero y tomillo|ROMEY|28001|6|Tourtière
39,40|10|1996-09-17 00:00:00.000|USA|Portland|Lonesome Pine Restaurant|LONEP|97219|3|Tarte au sucre
10,00|3|1996-09-17 00:00:00.000|USA|Portland|Lonesome Pine Restaurant|LONEP|97219|3|Scottish Longbreads
28,80|1|1996-09-18 00:00:00.000|Mexico|Mexico D,F,|Ana Trujillo Emparedados y helados|ANATR|05021|4|Gudbrandsdalsost
12,00|5|1996-09-18 00:00:00.000|Mexico|Mexico D,F,|Ana Trujillo Emparedados y helados|ANATR|05021|1|Outback Lager
17,60|20|1996-09-19 00:00:00.000|Ireland|Cork|Hungry Owl All-Night Grocers|HUNGO|NULL|2|Chef Anton's Cajun Seasoning
20,00|30|1996-09-19 00:00:00.000|Ireland|Cork|Hungry Owl All-Night Grocers|HUNGO|NULL|2|Grandma's Boysenberry Spread
11,20|2|1996-09-19 00:00:00.000|Ireland|Cork|Hungry Owl All-Night Grocers|HUNGO|NULL|5|Singaporean Hokkien Fried Mee
36,80|20|1996-09-19 00:00:00.000|Ireland|Cork|Hungry Owl All-Night Grocers|HUNGO|NULL|1|Ipoh Coffee
17,20|3|1996-09-19 00:00:00.000|Ireland|Cork|Hungry Owl All-Night Grocers|HUNGO|NULL|4|Flotemysost
13,90|10|1996-09-20 00:00:00.000|USA|Portland|The Big Cheese|THEBI|97201|3|Pavlova
39,40|5|1996-09-20 00:00:00.000|USA|Portland|The Big Cheese|THEBI|97201|3|Tarte au sucre
11,20|6|1996-09-20 00:00:00.000|France|Nantes|Du monde entier|DUMON|44000|5|Singaporean Hokkien Fried Mee
28,80|7|1996-09-20 00:00:00.000|France|Nantes|Du monde entier|DUMON|44000|4|Gudbrandsdalsost
36,40|4|1996-09-23 00:00:00.000|Germany|Stuttgart|Die Wandernde Kuh|WANDK|70563|7|Rössle Sauerkraut
36,80|24|1996-09-23 00:00:00.000|Germany|Stuttgart|Die Wandernde Kuh|WANDK|70563|1|Ipoh Coffee
26,20|20|1996-09-23 00:00:00.000|Germany|Stuttgart|Die Wandernde Kuh|WANDK|70563|6|Perth Pasties
6,20|10|1996-09-23 00:00:00.000|Germany|Stuttgart|Die Wandernde Kuh|WANDK|70563|1|Rhönbräu Klosterbier
15,20|12|1996-09-24 00:00:00.000|Germany|Cunewalde|QUICK-Stop|QUICK|01307|8|Inlagd Sill
25,60|40|1996-09-25 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|4|Mascarpone Fabioli
10,60|30|1996-09-25 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|8|Escargots de Bourgogne
39,40|25|1996-09-25 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|3|Tarte au sucre
11,20|14|1996-09-26 00:00:00.000|UK|Cowes|Island Trading|ISLAT|PO31 7PJ|1|Sasquatch Ale
12,00|30|1996-09-26 00:00:00.000|UK|Cowes|Island Trading|ISLAT|PO31 7PJ|1|Outback Lager
7,70|10|1996-09-27 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|8|Jack's New England Clam Chowder
39,40|70|1996-09-27 00:00:00.000|USA|Albuquerque|Rattlesnake Canyon Grocery|RATTC|87110|3|Tarte au sucre
14,40|20|1996-09-30 00:00:00.000|USA|Portland|Lonesome Pine Restaurant|LONEP|97219|1|Chai
7,70|20|1996-10-01 00:00:00.000|UK|Cowes|Island Trading|ISLAT|PO31 7PJ|8|Jack's New England Clam Chowder
14,40|6|1996-10-01 00:00:00.000|UK|Cowes|Island Trading|ISLAT|PO31 7PJ|1|Lakkalikööri
31,20|8|1996-10-02 00:00:00.000|Mexico|Mexico D,F,|Tortuga Restaurante|TORTU|05033|6|Alice Mutton
36,40|14|1996-10-02 00:00:00.000|Mexico|Mexico D,F,|Tortuga Restaurante|TORTU|05033|7|Rössle Sauerkraut
14,40|30|1996-10-02 00:00:00.000|Mexico|Mexico D,F,|Tortuga Restaurante|TORTU|05033|1|Lakkalikööri
17,20|30|1996-10-03 00:00:00.000|Finland|Oulu|Wartian Herkku|WARTH|90110|4|Flotemysost
14,40|10|1996-10-03 00:00:00.000|UK|Cowes|Island Trading|ISLAT|PO31 7PJ|1|Steeleye Stout
5,60|20|1996-10-04 00:00:00.000|Mexico|Mexico D,F,|Pericles Comidas clásicas|PERIC|05033|5|Filo Mix
12,40|5|1996-10-07 00:00:00.000|Germany|Brandenburg|Königlich Essen|KOENE|14776|2|Genen Shouyu
11,20|4|1996-10-07 00:00:00.000|Germany|Brandenburg|Königlich Essen|KOENE|14776|3|NuNuCa Nuß-Nougat-Creme
14,40|4|1996-10-07 00:00:00.000|Germany|Brandenburg|Königlich Essen|KOENE|14776|1|Chartreuse verte
13,90|21|1996-10-08 00:00:00.000|USA|Boise|Save-a-lot Markets|SAVEA|83720|3|Pavlova
14,40|70|1996-10-08 00:00:00.000|USA|Boise|Save-a-lot Markets|SAVEA|83720|1|Steeleye Stout
9,60|30|1996-10-08 00:00:00.000|USA|Boise|Save-a-lot Markets|SAVEA|83720|8|Spegesild
44,00|40|1996-10-08 00:00:00.000|USA|Boise|Save-a-lot Markets|SAVEA|83720|4|Raclette Courdavault
35,10|80|1996-10-08 00:00:00.000|USA|Boise|Save-a-lot Markets|SAVEA|83720|2|Vegie-spread
20,00|6|1996-10-09 00:00:00.000|Germany|Brandenburg|Königlich Essen|KOENE|14776|2|Grandma's Boysenberry Spread
4,80|12|1996-10-09 00:00:00.000|Germany|Brandenburg|Königlich Essen|KOENE|14776|8|Konbu
18,60|9|1996-10-09 00:00:00.000|Germany|Brandenburg|Königlich Essen|KOENE|14776|7|Tofu
10,00|4|1996-10-09 00:00:00.000|Germany|Brandenburg|Königlich Essen|KOENE|14776|4|Gorgonzola Telino
27,80|40|1996-10-09 00:00:00.000|Germany|Brandenburg|Königlich Essen|KOENE|14776|4|Mozzarella di Giovanni
17,60|24|1996-10-10 00:00:00.000|Spain|Madrid|Bólido Comidas preparadas|BOLID|28023|2|Chef Anton's Cajun Seasoning
15,60|16|1996-10-10 00:00:00.000|Spain|Madrid|Bólido Comidas preparadas|BOLID|28023|5|Ravioli Angelo
6,20|50|1996-10-10 00:00:00.000|Spain|Madrid|Bólido Comidas preparadas|BOLID|28023|1|Rhönbräu Klosterbier
15,20|25|1996-10-11 00:00:00.000|Sweden|Bräcke|Folk och fä HB|FOLKO|S-844 67|1|Chang
16,80|50|1996-10-11 00:00:00.000|Sweden|Bräcke|Folk och fä HB|FOLKO|S-844 67|4|Queso Cabrales
20,70|35|1996-10-11 00:00:00.000|Sweden|Bräcke|Folk och fä HB|FOLKO|S-844 67|8|Nord-Ost Matjeshering
10,60|30|1996-10-11 00:00:00.000|Sweden|Bräcke|Folk och fä HB|FOLKO|S-844 67|8|Escargots de Bourgogne
44,00|9|1996-10-14 00:00:00.000|Portugal|Lisboa|Furia Bacalhau e Frutos do Mar|FURIB|1675|4|Raclette Courdavault
16,80|40|1996-10-14 00:00:00.000|Portugal|Lisboa|Furia Bacalhau e Frutos do Mar|FURIB|1675|2|Louisiana Fiery Hot Pepper Sauce
10,00|10|1996-10-14 00:00:00.000|Portugal|Lisboa|Furia Bacalhau e Frutos do Mar|FURIB|1675|3|Scottish Longbreads
